date,datetime,open,high,low,close,volume,trades
1/1/2018 19:00,1.51485E+12,13382.16,15473.49,12890.02,14675.11,20078.09211,177728
1/2/2018 19:00,1.51494E+12,14690,15307.56,14150,14919.51,15905.66764,162787
1/3/2018 19:00,1.51502E+12,14919.51,15280,13918.04,15059.54,21329.64957,170310
1/4/2018 19:00,1.51511E+12,15059.56,17176.24,14600,16960.39,23251.49113,192969
1/5/2018 19:00,1.5152E+12,16960.39,17143.13,16011.21,17069.79,18571.45751,158242
1/6/2018 19:00,1.51528E+12,17069.79,17099.96,15610,16150.03,12493.12556,120269
1/7/2018 19:00,1.51537E+12,16218.85,16322.3,12812,14902.54,26600.60991,208642
1/8/2018 19:00,1.51546E+12,14902.54,15500,14011.05,14400,14315.00425,156656
1/9/2018 19:00,1.51554E+12,14401,14955.66,13131.31,14907.09,17411.00166,161476
1/10/2018 19:00,1.51563E+12,14940,14968.68,11400,13238.78,33554.72375,239416
1/11/2018 19:00,1.51572E+12,13238.76,14109.78,12500,13740.01,16417.16214,134452
1/12/2018 19:00,1.5158E+12,13749.95,14580,13706.15,14210,12221.50853,123639
1/13/2018 19:00,1.51589E+12,14210,14339.5,12569.2,13474.99,17017.89433,152364
1/14/2018 19:00,1.51597E+12,13477.98,14249.99,13147.79,13539.93,14652.09471,145362
1/15/2018 19:00,1.51606E+12,13500,13542.93,9035,10900,63401.16918,418243
1/16/2018 19:00,1.51615E+12,10899.99,11680.99,9037.94,10988.79,72331.79665,517293
1/17/2018 19:00,1.51623E+12,10972.59,11878.82,10435.33,10961.97,48464.43494,393112
1/18/2018 19:00,1.51632E+12,10960,11795,10360,11474.98,34129.37542,273271
1/19/2018 19:00,1.51641E+12,11474.98,13099,11412.45,12799.94,28768.85783,251647
1/20/2018 19:00,1.51649E+12,12799.8,12799.8,10965,11530,41379.77343,360207
1/21/2018 19:00,1.51658E+12,11530,11926.35,9900.24,10760.05,43752.60679,363264
1/22/2018 19:00,1.51667E+12,10760.05,11399,9905,10799.18,37473.92255,355286
1/23/2018 19:00,1.51675E+12,10799.14,11570.48,10500,11349.99,27158.58776,293429
1/24/2018 19:00,1.51684E+12,11349.96,11794.05,10950.21,11175.27,20839.95418,221040
1/25/2018 19:00,1.51692E+12,11184.7,11643,10311.15,11089,33056.87196,314720
1/26/2018 19:00,1.51701E+12,11089,11650,10842.69,11491,18860.76835,207478
1/27/2018 19:00,1.5171E+12,11499.98,12244,11408,11879.95,16887.33952,206247
1/28/2018 19:00,1.51718E+12,11879.95,11975.02,11139.55,11251,14170.37754,169199
1/29/2018 19:00,1.51727E+12,11250.11,11308.42,9900,10237.51,25554.37295,259212
1/30/2018 19:00,1.51736E+12,10230,10425.85,9700,10285.1,18015.95681,201422
1/31/2018 19:00,1.51744E+12,10285.1,10335,8750.99,9224.52,33564.76431,316020
2/1/2018 19:00,1.51753E+12,9224.52,9250,8010.02,8873.03,49971.62698,453411
2/2/2018 19:00,1.51762E+12,8873.03,9473.01,8229,9199.96,28725.00074,327519
2/3/2018 19:00,1.5177E+12,9199.96,9368,7930,8184.81,32014.30845,356134
2/4/2018 19:00,1.51779E+12,8179.99,8382.8,6625,6939.99,63403.18258,533510
2/5/2018 19:00,1.51788E+12,6939.63,7878,6000.01,7652.14,100201.5003,785996
2/6/2018 19:00,1.51796E+12,7655.02,8476,7150.01,7599,60778.4605,514893
2/7/2018 19:00,1.51805E+12,7599,7844,7572.09,7784.02,1521.537318,12417
2/8/2018 19:00,1.51813E+12,7789.9,8738,7789.9,8683.92,20482.91083,273091
2/9/2018 19:00,1.51822E+12,8683.93,9065.78,8120,8533.98,49381.51265,537578
2/10/2018 19:00,1.51831E+12,8533.99,8549,7726.53,8063.88,45025.18795,524626
2/11/2018 19:00,1.51839E+12,8063.82,8989,8053,8903,41987.85049,477660
2/12/2018 19:00,1.51848E+12,8903,8950,8351,8539.9,35454.97296,401893
2/13/2018 19:00,1.51857E+12,8535.17,9489.6,8533,9449.99,40811.95287,514897
2/14/2018 19:00,1.51865E+12,9449.98,10219.5,9301.5,10000.09,52427.59672,608349
2/15/2018 19:00,1.51874E+12,10000.89,10323.37,9666,10159.98,38161.20597,405310
2/16/2018 19:00,1.51883E+12,10156.07,11075.07,10050,11039.55,41882.10841,413585
2/17/2018 19:00,1.51891E+12,11039.55,11274,10080,10383.43,61137.38073,537534
2/18/2018 19:00,1.519E+12,10375.01,11250,10270.33,11153,40831.41713,366882
2/19/2018 19:00,1.51908E+12,11147.11,11786.01,11100.59,11200.99,48153.35429,432197
2/20/2018 19:00,1.51917E+12,11195.07,11304.03,10200,10437.6,68113.81875,542340
2/21/2018 19:00,1.51926E+12,10439.02,10933.44,9679,9811.04,67060.16648,506273
2/22/2018 19:00,1.51934E+12,9815.55,10435,9570.19,10131.04,57202.70237,467480
2/23/2018 19:00,1.51943E+12,10131.04,10496.97,9352,9694.51,40888.1563,337918
2/24/2018 19:00,1.51952E+12,9694.51,9847,9274.8,9590,28373.51759,233567
2/25/2018 19:00,1.5196E+12,9590,10444.32,9350,10324,34878.29276,285276
2/26/2018 19:00,1.51969E+12,10321,10870,10121,10569.04,30705.38512,240542
2/27/2018 19:00,1.51978E+12,10584.33,11098,10300,10326.76,30800.98378,277886
2/28/2018 19:00,1.51986E+12,10325.64,11060.41,10240,10920,25092.55393,230428
3/1/2018 19:00,1.51995E+12,10923.36,11200,10770,11039,23910.71009,211691
3/2/2018 19:00,1.52004E+12,11038.99,11544,11015.01,11464.48,21287.15328,190444
3/3/2018 19:00,1.52012E+12,11464.47,11565,11050.02,11515,17295.91865,168359
3/4/2018 19:00,1.52021E+12,11515,11710,11415.01,11454,15144.23106,164318
3/5/2018 19:00,1.52029E+12,11455,11455,10555.48,10716.48,29515.57236,250306
3/6/2018 19:00,1.52038E+12,10716.48,10899,9389.31,9910,50647.67108,396721
3/7/2018 19:00,1.52047E+12,9910,10099,9060,9271.64,41109.47323,336514
3/8/2018 19:00,1.52055E+12,9267.07,9410,8329,9227,64112.29141,462712
3/9/2018 19:00,1.52064E+12,9230,9490,8667.07,8770.22,37180.01286,288066
3/10/2018 19:00,1.52073E+12,8770.22,9740,8450,9533.57,44325.97339,333367
3/11/2018 19:00,1.52081E+12,9533.57,9888.88,8780,9131.34,42230.77793,336642
3/12/2018 19:00,1.5209E+12,9131.34,9474,8823,9150,40191.40936,342734
3/13/2018 19:00,1.52099E+12,9151.92,9333.78,7900.28,8170,49708.09411,399127
3/14/2018 19:00,1.52107E+12,8184.01,8430,7650,8240.98,52291.02228,400529
3/15/2018 19:00,1.52116E+12,8240.98,8611.64,7900,8260,38815.40989,255807
3/16/2018 19:00,1.52124E+12,8260,8348.62,7721.99,7824.8,33110.20633,292041
3/17/2018 19:00,1.52133E+12,7824.01,8317.4,7322,8189.99,59488.23171,423336
3/18/2018 19:00,1.52142E+12,8189,8705.23,8088.4,8600,55297.08494,360414
3/19/2018 19:00,1.5215E+12,8595.01,9050,8280,8909.98,44865.10584,298261
3/20/2018 19:00,1.52159E+12,8909.96,9177.01,8750.6,8885,39972.40537,293696
3/21/2018 19:00,1.52168E+12,8884.82,9100,8465.1,8722.9,40617.55681,276449
3/22/2018 19:00,1.52176E+12,8720,8909,8269,8898.03,39991.00767,278571
3/23/2018 19:00,1.52185E+12,8898.04,8999.95,8491,8546.86,35466.60957,270300
3/24/2018 19:00,1.52194E+12,8531.25,8669.85,8365.77,8470.15,29001.76932,215660
3/25/2018 19:00,1.52202E+12,8470.14,8514.89,7831,8134.23,44033.59566,310462
3/26/2018 19:00,1.52211E+12,8134.22,8215.94,7730,7795.51,37427.64805,266540
3/27/2018 19:00,1.5222E+12,7795.51,8109,7728,7949.3,26401.33167,183620
3/28/2018 19:00,1.52228E+12,7949.3,7975,6941.11,7090.14,54620.91513,359537
3/29/2018 19:00,1.52237E+12,7090.16,7292.43,6600.1,6840.23,65306.03198,400057
3/30/2018 19:00,1.52245E+12,6840.24,7223.36,6777,6923.91,36868.53909,240293
3/31/2018 19:00,1.52254E+12,6922,7049.98,6430,6813.01,44071.43046,260942
4/1/2018 19:00,1.52263E+12,6813.01,7125,6765,7056,32123.56007,206780
4/2/2018 19:00,1.52271E+12,7063.97,7520,7011.01,7405.21,37787.33181,248143
4/3/2018 19:00,1.5228E+12,7405.21,7427.52,6707,6796.1,42227.1838,277249
4/4/2018 19:00,1.52289E+12,6796.1,6902,6566.69,6770.76,39029.73146,238476
4/5/2018 19:00,1.52297E+12,6770,6850,6500,6601.39,27455.01192,162456
4/6/2018 19:00,1.52306E+12,6601.39,7070,6586.28,6895.8,32269.57827,178577
4/7/2018 19:00,1.52315E+12,6895.81,7109.13,6880,7018,21427.67317,152461
4/8/2018 19:00,1.52323E+12,7011.04,7185,6611,6782.72,34078.29721,212669
4/9/2018 19:00,1.52332E+12,6781.55,6890,6656,6843.9,22326.7281,147755
