date,datetime,open,high,low,close,volume,trades
1/1/2020 0:00,1.57785E+12,206.2,206.85,206.2,206.28,188.38998,161
1/1/2020 0:15,1.57786E+12,206.32,206.63,206.1,206.37,77.66153,128
1/1/2020 0:30,1.57786E+12,206.36,206.46,206.21,206.23,57.67782,85
1/1/2020 0:45,1.57786E+12,206.29,206.73,206.29,206.54,171.90373,118
1/1/2020 1:00,1.57786E+12,206.58,207.3,206.5,207.09,237.66322,170
1/1/2020 1:15,1.57786E+12,207.05,207.48,206.86,207.48,368.65008,162
1/1/2020 1:30,1.57786E+12,207.36,207.37,206.97,206.97,89.71147,87
1/1/2020 1:45,1.57786E+12,207.02,207.03,206.69,207.01,169.42757,102
1/1/2020 2:00,1.57786E+12,207.06,207.08,206.81,206.97,206.633,276
1/1/2020 2:15,1.57786E+12,206.92,207.5,206.89,207.31,859.22411,755
1/1/2020 2:30,1.57786E+12,207.34,207.34,206.22,206.28,580.79418,824
1/1/2020 2:45,1.57786E+12,206.28,206.71,206.26,206.59,237.75014,171
1/1/2020 3:00,1.57787E+12,206.56,206.56,205.89,206.05,373.59518,291
1/1/2020 3:15,1.57787E+12,206.04,206.04,204.94,205.55,1137.36479,597
1/1/2020 3:30,1.57787E+12,205.58,206.11,205.33,205.55,237.14009,238
1/1/2020 3:45,1.57787E+12,205.45,206.21,205.34,206.21,291.097,327
1/1/2020 4:00,1.57787E+12,206.13,206.74,205.87,205.9,496.43964,510
1/1/2020 4:15,1.57787E+12,205.81,205.99,205.64,205.82,86.83235,83
1/1/2020 4:30,1.57787E+12,205.98,206.02,205.74,205.88,36.18187,51
1/1/2020 4:45,1.57787E+12,205.9,205.99,205.1,205.27,472.15226,276
1/1/2020 5:00,1.57787E+12,205.26,206.04,205.01,205.98,226.04646,232
1/1/2020 5:15,1.57787E+12,206.05,206.7,205.85,206.61,432.28139,445
1/1/2020 5:30,1.57787E+12,206.6,206.7,206.29,206.48,145.92437,175
1/1/2020 5:45,1.57788E+12,206.48,206.72,206.39,206.42,114.85788,115
1/1/2020 6:00,1.57788E+12,206.41,206.9,206.32,206.78,160.6926,164
1/1/2020 6:15,1.57788E+12,206.86,209,206.78,208.36,3415.83763,1373
1/1/2020 6:30,1.57788E+12,208.31,208.51,207.17,207.75,405.62655,322
1/1/2020 6:45,1.57788E+12,207.7,207.77,205.5,205.96,1690.1252,887
1/1/2020 7:00,1.57788E+12,205.96,206.92,205.95,206.82,407.17809,372
1/1/2020 7:15,1.57788E+12,206.72,207.56,206.61,206.93,261.74745,259
1/1/2020 7:30,1.57788E+12,207.02,207.43,206.77,207.2,106.03475,147
1/1/2020 7:45,1.57788E+12,207.13,207.4,206.89,207.23,85.30995,110
1/1/2020 8:00,1.57788E+12,207.27,207.36,206.8,206.97,220.33057,164
