date,datetime,open,high,low,close,volume,trades
1/1/2020 0:00,1.57785E+12,41.61,41.69,41.6,41.63,400.16869,81
1/1/2020 0:15,1.57786E+12,41.61,41.66,41.59,41.65,205.17099,54
1/1/2020 0:30,1.57786E+12,41.65,41.78,41.6,41.77,795.30548,110
1/1/2020 0:45,1.57786E+12,41.76,41.84,41.7,41.78,1120.51488,149
1/1/2020 1:00,1.57786E+12,41.79,41.82,41.73,41.75,940.04055,85
1/1/2020 1:15,1.57786E+12,41.74,41.81,41.74,41.78,965.12809,92
1/1/2020 1:30,1.57786E+12,41.79,41.8,41.59,41.59,2896.57542,258
1/1/2020 1:45,1.57786E+12,41.6,41.64,41.5,41.62,2524.03381,297
1/1/2020 2:00,1.57786E+12,41.61,41.61,41.54,41.57,199.69036,38
1/1/2020 2:15,1.57786E+12,41.58,41.63,41.55,41.63,346.46783,60
1/1/2020 2:30,1.57786E+12,41.63,41.64,41.47,41.5,762.93314,112
1/1/2020 2:45,1.57786E+12,41.5,41.59,41.48,41.58,1070.72014,100
1/1/2020 3:00,1.57787E+12,41.58,41.61,41.52,41.53,1400.16913,143
1/1/2020 3:15,1.57787E+12,41.52,41.52,41.41,41.47,1670.90307,200
1/1/2020 3:30,1.57787E+12,41.48,41.52,41.42,41.44,841.51803,101
1/1/2020 3:45,1.57787E+12,41.43,41.51,41.4,41.51,710.21634,133
1/1/2020 4:00,1.57787E+12,41.52,41.63,41.51,41.58,779.14497,149
1/1/2020 4:15,1.57787E+12,41.6,41.65,41.57,41.62,1061.27339,145
1/1/2020 4:30,1.57787E+12,41.62,41.71,41.62,41.64,564.30383,85
1/1/2020 4:45,1.57787E+12,41.64,41.65,41.56,41.58,433.26368,53
1/1/2020 5:00,1.57787E+12,41.58,41.68,41.56,41.67,664.78439,78
1/1/2020 5:15,1.57787E+12,41.7,41.76,41.67,41.74,829.17677,124
1/1/2020 5:30,1.57787E+12,41.76,41.76,41.7,41.75,359.81799,62
1/1/2020 5:45,1.57788E+12,41.73,41.76,41.71,41.71,702.94036,83
1/1/2020 6:00,1.57788E+12,41.71,41.79,41.71,41.76,727.13954,80
1/1/2020 6:15,1.57788E+12,41.76,41.98,41.74,41.91,1573.43823,294
1/1/2020 6:30,1.57788E+12,41.92,42,41.85,41.94,2414.38227,263
1/1/2020 6:45,1.57788E+12,41.95,41.95,41.53,41.59,2974.32495,381
1/1/2020 7:00,1.57788E+12,41.59,41.73,41.59,41.69,717.76085,143
1/1/2020 7:15,1.57788E+12,41.7,41.78,41.68,41.71,369.31841,71
1/1/2020 7:30,1.57788E+12,41.7,41.8,41.68,41.77,807.71576,95
1/1/2020 7:45,1.57788E+12,41.76,41.83,41.75,41.8,374.71754,68
1/1/2020 8:00,1.57788E+12,41.8,41.84,41.76,41.79,575.02607,117
1/1/2020 8:15,1.57788E+12,41.8,41.83,41.72,41.81,1473.77929,127
1/1/2020 8:30,1.57789E+12,41.82,41.9,41.81,41.87,1036.65584,166
1/1/2020 8:45,1.57789E+12,41.87,41.95,41.83,41.84,1500.01292,143
1/1/2020 9:00,1.57789E+12,41.85,41.87,41.76,41.8,885.03911,138
1/1/2020 9:15,1.57789E+12,41.83,41.93,41.82,41.91,871.49921,129
1/1/2020 9:30,1.57789E+12,41.92,41.94,41.85,41.88,1283.45658,131
1/1/2020 9:45,1.57789E+12,41.86,41.86,41.8,41.84,1096.48736,133
1/1/2020 10:00,1.57789E+12,41.85,41.9,41.83,41.86,502.64067,98
1/1/2020 10:15,1.57789E+12,41.87,41.9,41.8,41.9,730.78973,85
1/1/2020 10:30,1.57789E+12,41.9,42,41.88,41.93,1606.31358,205
1/1/2020 10:45,1.57789E+12,41.95,41.99,41.85,41.95,1149.19857,109
1/1/2020 11:00,1.57789E+12,41.94,42.05,41.86,41.92,2940.68206,293
1/1/2020 11:15,1.5779E+12,41.92,41.92,41.77,41.82,961.71887,147
1/1/2020 11:30,1.5779E+12,41.8,41.94,41.78,41.9,680.92478,97
1/1/2020 11:45,1.5779E+12,41.91,42.08,41.91,42.04,1609.42688,165
1/1/2020 12:00,1.5779E+12,42.06,42.07,41.94,42,1814.02335,228
1/1/2020 12:15,1.5779E+12,42.01,42.05,41.96,42.01,793.8158,195
1/1/2020 12:30,1.5779E+12,42.01,42.01,41.89,41.9,1045.57872,116
1/1/2020 12:45,1.5779E+12,41.9,41.95,41.86,41.88,1044.28453,164
1/1/2020 13:00,1.5779E+12,41.89,41.91,41.82,41.83,1647.03465,157
1/1/2020 13:15,1.5779E+12,41.85,41.87,41.68,41.7,2052.19502,207
1/1/2020 13:30,1.5779E+12,41.7,41.71,41.57,41.7,1161.06241,180
1/1/2020 13:45,1.5779E+12,41.71,41.84,41.61,41.82,1511.21541,219
